Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Type
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Apartment
950.0,2,2.0,Furnished,Other,1.0,15500000,Apartment
600.0,2,2.0,Semi-Furnished,Other,1.0,4200000,Builder_Floor
650.0,2,2.0,Semi-Furnished,Other,1.0,6200000,Builder_Floor
1300.0,4,3.0,Semi-Furnished,Other,1.0,15500000,Builder_Floor
1350.0,4,3.0,Semi-Furnished,Other,1.0,10000000,Builder_Floor
650.0,2,2.0,Semi-Furnished,Other,1.0,4000000,Apartment
985.0,3,3.0,Unfurnished,Other,1.0,6800000,Builder_Floor
1300.0,4,4.0,Semi-Furnished,Other,1.0,15000000,Builder_Floor
1100.0,3,2.0,Semi-Furnished,Other,1.0,6200000,Builder_Floor
870.0,3,2.0,Semi-Furnished,Other,1.0,7700000,Builder_Floor
630.0,2,2.0,Semi-Furnished,Other,1.0,5500000,Builder_Floor
660.0,2,2.0,Semi-Furnished,Other,1.0,5000000,Builder_Floor
344.4448,2,2.0,Semi-Furnished,Other,1.0,3310000,Builder_Floor
660.0,2,2.0,Semi-Furnished,Other,1.0,4700000,Builder_Floor
550.0,2,2.0,Semi-Furnished,Other,1.0,4500000,Builder_Floor
1100.0,4,3.0,Semi-Furnished,Other,1.0,17000000,Builder_Floor
1150.0,3,3.0,Semi-Furnished,Other,1.0,25000000,Apartment
650.0,2,2.0,Semi-Furnished,Other,1.0,6000000,Builder_Floor
850.0,2,2.0,Semi-Furnished,Other,1.0,11000000,Apartment
900.0,3,2.0,Semi-Furnished,Other,5.0,4500000,Builder_Floor
430.556,1,1.0,Furnished,Other,2.0,5300000,Apartment
900.0,2,2.0,Semi-Furnished,Other,1.0,10500000,Apartment
914.9315,2,2.0,Semi-Furnished,Other,1.0,12000000,Builder_Floor
1100.0,3,3.0,Furnished,Other,1.0,7000000,Builder_Floor
800.0,3,2.0,Semi-Furnished,Other,1.0,7000000,Builder_Floor
500.0,1,1.0,Semi-Furnished,Other,1.0,3400000,Apartment
28.0,2,2.0,Furnished,Other,1.0,5000000,Apartment
2160.0,4,4.0,Furnished,Other,1.0,21000000,Builder_Floor
900.0,2,2.0,Semi-Furnished,Other,2.0,13000000,Builder_Floor
1000.0,3,3.0,Semi-Furnished,Other,1.0,22000000,Builder_Floor
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15800000,Builder_Floor
900.0,2,2.0,Unfurnished,Other,2.0,10000000,Builder_Floor
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,30000000,Builder_Floor
1143.0,3,3.0,Unfurnished,Other,2.0,22000000,Builder_Floor
1150.0,3,3.0,Semi-Furnished,Other,2.0,24000000,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,31500000,Builder_Floor
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,14600000,Builder_Floor
890.0,2,2.0,Semi-Furnished,Other,1.0,8300000,Builder_Floor
1100.0,3,3.0,Unfurnished,Other,1.0,22500000,Builder_Floor
850.0,2,1.0,Semi-Furnished,Other,2.0,1900000,Apartment
1350.0,3,2.0,Unfurnished,Other,1.0,5130000,Apartment
1387.0,4,4.0,Unfurnished,Other,1.0,5890000,Apartment
1050.0,3,2.0,Unfurnished,Other,1.0,3700000,Apartment
1500.0,3,2.0,Unfurnished,Other,1.0,17400000,Apartment
